 2600           1
 TGO        SEFF         PALB    FH2O              FTIR(1)         FTSO(1)
1600.0     1.06262     0.16504 9.47634E-01         303.241         285.372
1800.0     1.29785     0.16251 8.66125E-01         371.494         286.237
2000.0     1.98718     0.16079 9.13792E-01         569.969         286.823
 
 6000          18
 TGO        SEFF         PALB    FH2O              FTIR(1)         FTSO(1)
 ==================================================
 200.0     0.41108     0.35755 1.65680E-06          90.262         219.575
 220.0     0.53603     0.35337 3.73017E-06         118.465         221.005
 240.0     0.68344     0.34385 3.96908E-06         153.268         224.259
 260.0     0.82373     0.32615 7.50795E-06         189.710         230.307
 280.0     0.94959     0.30142 1.45593E-05         226.724         238.760
 300.0     1.00584     0.26764 1.90819E-05         251.768         250.306
 320.0     1.00702     0.23181 1.14061E-04         264.394         262.550
 340.0     0.99981     0.20603 1.99708E-03         271.313         271.364
 360.0     0.98642     0.18682 7.47152E-02         274.154         277.928
 380.0     0.98092     0.17529 2.89513E-01         276.493         281.870
 400.0     0.98167     0.17172 5.08837E-01         277.899         283.089
 420.0     0.98747     0.17402 6.70553E-01         278.767         282.303
 440.0     0.99498     0.17877 7.78154E-01         279.272         280.681
 460.0     1.00307     0.18447 8.49676E-01         279.585         278.730
 480.0     1.01011     0.18946 8.91268E-01         279.828         277.027
 500.0     1.01482     0.19279 9.18847E-01         279.975         275.888
 520.0     1.01816     0.19506 9.40632E-01         280.109         275.112
 540.0     1.01972     0.19608 9.54886E-01         280.183         274.764
 600.0     1.02280     0.19760 9.69314E-01         280.497         274.245
 720.0     1.02323     0.19763 9.64714E-01         280.601         274.232
 850.0     1.02283     0.19806 9.50983E-01         280.345         274.087
1060.0     1.02026     0.19621 9.31156E-01         280.283         274.718
1200.0     1.01732     0.19350 9.14777E-01         280.420         275.645
1400.0     1.02569     0.18983 8.91991E-01         284.013         276.900
1500.0     1.04535     0.18839 8.60395E-01         289.972         277.393
1600.0     1.09030     0.18624 9.47634E-01         303.241         278.125
1800.0     1.33139     0.18360 8.66125E-01         371.494         279.028
2000.0     2.03824     0.18182 9.13792E-01         569.969         279.637
 
 6200          19
 TGO        SEFF         PALB    FH2O              FTIR(1)         FTSO(1)
 ==================================================
 200.0     0.41416     0.36233 1.65680E-06          90.262         217.942
 220.0     0.54015     0.35831 3.73017E-06         118.465         219.316
 240.0     0.68934     0.34946 3.96908E-06         153.268         222.342
 260.0     0.83200     0.33286 7.50795E-06         189.710         228.016
 280.0     0.96055     0.30940 1.45593E-05         226.724         236.034
 300.0     1.01918     0.27722 1.90819E-05         251.768         247.031
 320.0     1.02175     0.24289 1.14061E-04         264.394         258.766
 340.0     1.01510     0.21799 1.99708E-03         271.313         267.276
 360.0     1.00213     0.19957 7.47152E-02         274.154         273.570
 380.0     0.99740     0.18891 2.89513E-01         276.493         277.213
 400.0     0.99935     0.18637 5.08837E-01         277.899         278.081
 420.0     1.00666     0.18976 6.70553E-01         278.767         276.922
 440.0     1.01568     0.19550 7.78154E-01         279.272         274.960
 460.0     1.02512     0.20202 8.49676E-01         279.585         272.735
 480.0     1.03323     0.20759 8.91268E-01         279.828         270.830
 500.0     1.03865     0.21131 9.18847E-01         279.975         269.557
 520.0     1.04248     0.21383 9.40632E-01         280.109         268.696
 540.0     1.04429     0.21499 9.54886E-01         280.183         268.301
 600.0     1.04774     0.21670 9.69314E-01         280.497         267.716
 720.0     1.04822     0.21677 9.64714E-01         280.601         267.693
 850.0     1.04785     0.21721 9.50983E-01         280.345         267.542
1060.0     1.04512     0.21533 9.31156E-01         280.283         268.183
1200.0     1.04198     0.21259 9.14777E-01         280.420         269.121
1400.0     1.05039     0.20888 8.91991E-01         284.013         270.389
1500.0     1.07044     0.20741 8.60395E-01         289.972         270.891
1600.0     1.11632     0.20521 9.47634E-01         303.241         271.644
