 # B4526                                                                                            
#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO                                        
    7.0    0.39853   -7.13248E+04    1.78971E+05    4.73616E-01                                     
    8.0    0.39952   -7.00380E+04    1.75305E+05    4.84398E-01                                     
   10.0    0.40635   -6.85471E+04    1.68689E+05    5.03856E-01                                     
   12.0    0.41638   -6.79533E+04    1.63199E+05    5.20002E-01                                     
   15.0    0.43232   -6.77439E+04    1.56699E+05    5.39120E-01                                     
   20.0    0.45560   -6.78593E+04    1.48945E+05    5.61927E-01                                     
   25.0    0.47469   -6.80053E+04    1.43263E+05    5.78639E-01                                     
   35.0    0.50200   -6.81739E+04    1.35804E+05    6.00578E-01                                     
                                                                                                    
 # B4564                                                                                            
#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO                                        
    0.0    0.85067   -1.94781E+05    2.28974E+05    3.26546E-01                                     
    1.0    0.54327   -1.16389E+05    2.14238E+05    3.69888E-01                                     
    3.0    0.44722   -8.70908E+04    1.94737E+05    4.27245E-01                                     
    3.5    0.43618   -8.33780E+04    1.91156E+05    4.37776E-01                                     
    4.0    0.42790   -8.04154E+04    1.87929E+05    4.47268E-01                                     
    4.5    0.42187   -7.80109E+04    1.84917E+05    4.56127E-01                                     
    5.0    0.41755   -7.61237E+04    1.82310E+05    4.63793E-01                                     
    5.5    0.41466   -7.45324E+04    1.79744E+05    4.71342E-01                                     
    6.0    0.41281   -7.32452E+04    1.77431E+05    4.78143E-01                                     
    6.5    0.41197   -7.21973E+04    1.75248E+05    4.84565E-01                                     
    7.0    0.41190   -7.13248E+04    1.73160E+05    4.90706E-01                                     
    8.0    0.41346   -7.00380E+04    1.69394E+05    5.01783E-01                                     
   10.0    0.42145   -6.85471E+04    1.62647E+05    5.21627E-01                                     
   12.0    0.43265   -6.79533E+04    1.57063E+05    5.38051E-01                                     
   15.0    0.45025   -6.77439E+04    1.50459E+05    5.57473E-01                                     
   20.0    0.47592   -6.78593E+04    1.42587E+05    5.80627E-01                                     
   25.0    0.49699   -6.80053E+04    1.36834E+05    5.97547E-01                                     
   35.0    0.52729   -6.81739E+04    1.29291E+05    6.19733E-01                                     
                                                                                                    
 # B4566                                                                                            
#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO                                        
    0.0    0.86075   -1.94781E+05    2.26291E+05    3.34438E-01                                     
    1.0    0.55316   -1.16389E+05    2.10410E+05    3.81148E-01                                     
    3.0    0.45837   -8.70908E+04    1.89999E+05    4.41179E-01                                     
    3.5    0.44758   -8.33780E+04    1.86285E+05    4.52102E-01                                     
    4.0    0.43956   -8.04154E+04    1.82945E+05    4.61926E-01                                     
    4.5    0.43379   -7.80109E+04    1.79834E+05    4.71075E-01                                     
    5.0    0.42972   -7.61237E+04    1.77146E+05    4.78981E-01                                     
    5.5    0.42711   -7.45324E+04    1.74504E+05    4.86752E-01                                     
    6.0    0.42553   -7.32452E+04    1.72127E+05    4.93744E-01                                     
    6.5    0.42498   -7.21973E+04    1.69886E+05    5.00336E-01                                     
    7.0    0.42520   -7.13248E+04    1.67745E+05    5.06631E-01                                     
    8.0    0.42735   -7.00380E+04    1.63891E+05    5.17968E-01                                     
   10.0    0.43652   -6.85471E+04    1.57032E+05    5.38142E-01                                     
   12.0    0.44893   -6.79533E+04    1.51368E+05    5.54799E-01                                     
   15.0    0.46824   -6.77439E+04    1.44679E+05    5.74474E-01                                     
   20.0    0.49637   -6.78593E+04    1.36710E+05    5.97911E-01                                     
   25.0    0.51952   -6.80053E+04    1.30901E+05    6.14996E-01                                     
   35.0    0.55294   -6.81739E+04    1.23293E+05    6.37373E-01                                     
                                                                                                    
 # B4568                                                                                            
#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO                                        
    0.0    0.87039   -1.94781E+05    2.23787E+05    3.41803E-01                                     
    1.0    0.56265   -1.16389E+05    2.06860E+05    3.91589E-01                                     
    3.0    0.46917   -8.70908E+04    1.85626E+05    4.54040E-01                                     
    3.5    0.45864   -8.33780E+04    1.81793E+05    4.65316E-01                                     
    4.0    0.45088   -8.04154E+04    1.78351E+05    4.75438E-01                                     
    4.5    0.44539   -7.80109E+04    1.75152E+05    4.84848E-01                                     
    5.0    0.44158   -7.61237E+04    1.72390E+05    4.92970E-01                                     
    5.5    0.43925   -7.45324E+04    1.69681E+05    5.00939E-01                                     
    6.0    0.43795   -7.32452E+04    1.67246E+05    5.08101E-01                                     
    6.5    0.43769   -7.21973E+04    1.64953E+05    5.14845E-01                                     
    7.0    0.43821   -7.13248E+04    1.62765E+05    5.21279E-01                                     
    8.0    0.44096   -7.00380E+04    1.58832E+05    5.32846E-01                                     
   10.0    0.45134   -6.85471E+04    1.51875E+05    5.53310E-01                                     
   12.0    0.46498   -6.79533E+04    1.46142E+05    5.70170E-01                                     
   15.0    0.48604   -6.77439E+04    1.39379E+05    5.90063E-01                                     
   20.0    0.51672   -6.78593E+04    1.31328E+05    6.13741E-01                                     
   25.0    0.54200   -6.80053E+04    1.25472E+05    6.30964E-01                                     
   35.0    0.57867   -6.81739E+04    1.17810E+05    6.53499E-01                                     
                                                                                                    
 # B4570                                                                                            
#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO                                        
    0.0    0.87812   -1.94781E+05    2.21815E+05    3.47602E-01                                     
    1.0    0.57038   -1.16389E+05    2.04057E+05    3.99833E-01                                     
    3.0    0.47816   -8.70908E+04    1.82139E+05    4.64297E-01                                     
    3.5    0.46788   -8.33780E+04    1.78202E+05    4.75876E-01                                     
    4.0    0.46038   -8.04154E+04    1.74673E+05    4.86256E-01                                     
    4.5    0.45515   -7.80109E+04    1.71396E+05    4.95894E-01                                     
    5.0    0.45159   -7.61237E+04    1.68570E+05    5.04206E-01                                     
    5.5    0.44953   -7.45324E+04    1.65800E+05    5.12352E-01                                     
    6.0    0.44849   -7.32452E+04    1.63313E+05    5.19666E-01                                     
    6.5    0.44850   -7.21973E+04    1.60974E+05    5.26548E-01                                     
    7.0    0.44931   -7.13248E+04    1.58744E+05    5.33106E-01                                     
    8.0    0.45262   -7.00380E+04    1.54740E+05    5.44884E-01                                     
   10.0    0.46413   -6.85471E+04    1.47689E+05    5.65620E-01                                     
   12.0    0.47891   -6.79533E+04    1.41890E+05    5.82675E-01                                     
   15.0    0.50161   -6.77439E+04    1.35054E+05    6.02783E-01                                     
   20.0    0.53466   -6.78593E+04    1.26920E+05    6.26705E-01                                     
   25.0    0.56196   -6.80053E+04    1.21015E+05    6.44073E-01                                     
   35.0    0.60174   -6.81739E+04    1.13294E+05    6.66782E-01                                     
                                                                                                    
 # B4572                                                                                            
#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO                                        
    0.0    0.88642   -1.94781E+05    2.19740E+05    3.53707E-01                                     
    1.0    0.57859   -1.16389E+05    2.01161E+05    4.08350E-01                                     
    3.0    0.48756   -8.70908E+04    1.78624E+05    4.74634E-01                                     
    3.5    0.47754   -8.33780E+04    1.74599E+05    4.86472E-01                                     
    4.0    0.47028   -8.04154E+04    1.70996E+05    4.97070E-01                                     
    4.5    0.46531   -7.80109E+04    1.67655E+05    5.06896E-01                                     
    5.0    0.46198   -7.61237E+04    1.64776E+05    5.15364E-01                                     
    5.5    0.46019   -7.45324E+04    1.61958E+05    5.23652E-01                                     
    6.0    0.45942   -7.32452E+04    1.59430E+05    5.31088E-01                                     
    6.5    0.45970   -7.21973E+04    1.57054E+05    5.38077E-01                                     
    7.0    0.46078   -7.13248E+04    1.54791E+05    5.44732E-01                                     
    8.0    0.46465   -7.00380E+04    1.50732E+05    5.56672E-01                                     
   10.0    0.47730   -6.85471E+04    1.43615E+05    5.77604E-01                                     
   12.0    0.49324   -6.79533E+04    1.37770E+05    5.94794E-01                                     
   15.0    0.51758   -6.77439E+04    1.30885E+05    6.15045E-01                                     
   20.0    0.55306   -6.78593E+04    1.22699E+05    6.39122E-01                                     
   25.0    0.58241   -6.80053E+04    1.16765E+05    6.56573E-01                                     
   35.0    0.62537   -6.81739E+04    1.09013E+05    6.79373E-01                                     
                                                                                                    
